_id,Serial No,Timestamp,Temperature,Humidity,latitude,longitude
191,1392961886,2014-02-21T11:21:26,23.7,71,13.00361,77.61818
192,1392962193,2014-02-21T11:26:33,23.8,71,13.00361,77.61818
193,1392962500,2014-02-21T11:31:40,23.9,70,13.00361,77.61818
194,1392962757,2014-02-21T11:35:57,23.9,70,13.00361,77.61818
195,1392963064,2014-02-21T11:41:04,24,70,13.00361,77.61818
196,1392963372,2014-02-21T11:46:12,24.1,70,13.00361,77.61818
197,1392963679,2014-02-21T11:51:19,24.2,70,13.00361,77.61818
198,1392963987,2014-02-21T11:56:27,24.3,69,13.00361,77.61818
199,1392964295,2014-02-21T12:01:35,24.4,69,13.00361,77.61818
200,1392964602,2014-02-21T12:06:42,24.4,68,13.00361,77.61818
201,1392964910,2014-02-21T12:11:50,24.4,68,13.00361,77.61818
202,1392965218,2014-02-21T12:16:58,24.4,68,13.00361,77.61818
203,1392965525,2014-02-21T12:22:05,24.5,67,13.00361,77.61818
204,1392965833,2014-02-21T12:27:13,24.6,67,13.00361,77.61818
205,1392966140,2014-02-21T12:32:20,24.7,67,13.00361,77.61818
206,1392966448,2014-02-21T12:37:28,24.8,66,13.00361,77.61818
207,1392966704,2014-02-21T12:41:44,24.8,66,13.00361,77.61818
208,1392967012,2014-02-21T12:46:52,24.8,66,13.00361,77.61818
209,1392967320,2014-02-21T12:52:00,24.8,66,13.00361,77.61818
210,1392967627,2014-02-21T12:57:07,24.8,65,13.00361,77.61818
211,1392967935,2014-02-21T13:02:15,24.9,66,13.00361,77.61818
212,1392968242,2014-02-21T13:07:22,25,65,13.00361,77.61818
213,1392968550,2014-02-21T13:12:30,25.2,64,13.00361,77.61818
214,1392968858,2014-02-21T13:17:38,25.3,64,13.00361,77.61818
215,1392969165,2014-02-21T13:22:45,25.4,63,13.00361,77.61818
216,1392969472,2014-02-21T13:27:52,25.5,63,13.00361,77.61818
217,1392969779,2014-02-21T13:32:59,25.5,63,13.00361,77.61818
218,1392970088,2014-02-21T13:38:08,25.6,62,13.00361,77.61818
219,1392970344,2014-02-21T13:42:24,25.7,61,13.00361,77.61818
220,1392970651,2014-02-21T13:47:31,25.7,60,13.00361,77.61818
221,1392970959,2014-02-21T13:52:39,25.8,60,13.00361,77.61818
222,1392971266,2014-02-21T13:57:46,25.9,60,13.00361,77.61818
223,1392971574,2014-02-21T14:02:54,26,60,13.00361,77.61818
224,1392971882,2014-02-21T14:08:02,26,60,13.00361,77.61818
225,1392972189,2014-02-21T14:13:09,26.1,59,13.00361,77.61818
226,1392972497,2014-02-21T14:18:17,26.2,59,13.00361,77.61818
227,1392972804,2014-02-21T14:23:24,26.2,58,13.00361,77.61818
228,1392973112,2014-02-21T14:28:32,26.3,58,13.00361,77.61818
229,1392973420,2014-02-21T14:33:40,26.3,58,13.00361,77.61818
230,1392973676,2014-02-21T14:37:56,26.4,58,13.00361,77.61818
231,1392973984,2014-02-21T14:43:04,26.4,58,13.00361,77.61818
232,1392974291,2014-02-21T14:48:11,26.4,57,13.00361,77.61818
